DISPOSITIF,SEXE,MARQUE,CHEVILLE MIN,CHEVILLE MAX,MOLLET MIN,MOLLET MAX,CUISSE MIN,CUISSE MAX,HANCHE MAX,TAILLE,HAUTEUR MIN,HAUTEUR MAX,HAUTEUR,DENOMINATION
BAS,FEMME,JOBST,24,26,33,34,45,52,-,T4,0,71,NORMAL,JOBST FEMME BAS TAILLE Normal T4 Morpho -
BAS,FEMME,JOBST,24,26,33,34,45,52,-,T4,71,1000,LONG,JOBST FEMME BAS TAILLE Long T4 Morpho -
BAS,FEMME,JOBST,26,28,35,36,49,55,-,T5,0,71,NORMAL,JOBST FEMME BAS TAILLE Normal T5 Morpho -
BAS,FEMME,JOBST,26,28,35,36,49,55,-,T5,71,1000,LONG,JOBST FEMME BAS TAILLE Long T5 Morpho -
BAS,FEMME,JOBST,26,28,37,38,53,59,-,T6,0,71,NORMAL,JOBST FEMME BAS TAILLE Normal T6 Morpho -
BAS,FEMME,JOBST,26,28,37,38,53,59,-,T6,71,1000,LONG,JOBST FEMME BAS TAILLE Long T6 Morpho -
BAS,FEMME,JOBST,18,20,35,37,49,57,-,T1,0,71,NORMAL,JOBST FEMME BAS TAILLE Normal T1 Morpho +
BAS,FEMME,JOBST,18,20,35,37,49,57,-,T1,71,1000,LONG,JOBST FEMME BAS TAILLE Long T1 Morpho +
BAS,FEMME,JOBST,20,22,38,40,53,62,-,T2,0,71,NORMAL,JOBST FEMME BAS TAILLE Normal T2 Morpho +
BAS,FEMME,JOBST,20,22,38,40,53,62,-,T2,71,1000,LONG,JOBST FEMME BAS TAILLE Long T2 Morpho +
BAS,FEMME,JOBST,22,24,41,43,57,67,-,T3,0,71,NORMAL,JOBST FEMME BAS TAILLE Normal T3 Morpho +
BAS,FEMME,JOBST,22,24,41,43,57,67,-,T3,71,1000,LONG,JOBST FEMME BAS TAILLE Long T3 Morpho +
BAS,FEMME,JOBST,24,26,44,46,61,72,-,T4,0,71,NORMAL,JOBST FEMME BAS TAILLE Normal T4 Morpho +
BAS,FEMME,JOBST,24,26,44,46,61,72,-,T4,71,1000,LONG,JOBST FEMME BAS TAILLE Long T4 Morpho +
BAS,FEMME,JOBST,26,28,47,49,65,77,-,T5,0,71,NORMAL,JOBST FEMME BAS TAILLE Normal T5 Morpho +
BAS,FEMME,JOBST,26,28,47,49,65,77,-,T5,71,1000,LONG,JOBST FEMME BAS TAILLE Long T5 Morpho +
BAS,FEMME,JOBST,26,28,50,52,69,81,-,T6,0,71,NORMAL,JOBST FEMME BAS TAILLE Normal T6 Morpho +
BAS,FEMME,JOBST,26,28,50,52,69,81,-,T6,71,1000,LONG,JOBST FEMME BAS TAILLE Long T6 Morpho +
BAS,FEMME,THUASNE,16,19,28,33,42,52,-,T0,0,74,NORMAL,THUASNE FEMME BAS TAILLE Normal T0
BAS,FEMME,THUASNE,16,19,28,33,42,52,-,T0,74,1000,LONG,THUASNE FEMME BAS TAILLE Long T0
